ID;Course number;Reference;URL;DOI
5_2520;5;R. Gafsiand M.A. El-Sherif, Optical fiber technology 6, 299-323 (2000);https://www.youtube.com/watch?v=-tdC1Y4Wo2Y&t=2520;https://doi.org/10.1006/ofte.2000.0333
5_2550;5;M. Nascimento et al. Batteries 2018, 4, 67;https://www.youtube.com/watch?v=-tdC1Y4Wo2Y&t=2550;https://doi.org/10.3390/batteries4040067
5_2700;5;Pinto et al. Journal of Power Sources 1-9, 2018;https://www.youtube.com/watch?v=-tdC1Y4Wo2Y&t=2700;https://doi.org/10.1186/s13705-024-00475-y
5_2820;5;J. Flemming et al. HardwareX 3 (2018);https://www.youtube.com/watch?v=-tdC1Y4Wo2Y&t=2820;https://doi.org/10.1109/fpt.2018.00037
5_3540;5;J. Huang, L. Albero Blanquer et al, Nature energy August 2020;https://www.youtube.com/watch?v=-tdC1Y4Wo2Y&t=3540;https://doi.org/10.1038/s41560-020-0665-y
7_330;7;J. Huang, L. Albero Blanquer et al, Nature energy August 2020;https://www.youtube.com/watch?v=t90r_MMmHdQ&t=330;https://doi.org/10.1038/s41560-020-0665-y
7_450;7;J. Huang, L. Albero Blanquer et al., Nature Energy, 2020, 5, 674-683;https://www.youtube.com/watch?v=t90r_MMmHdQ&t=450;https://doi.org/10.1038/s41560-020-0665-y
7_720;7;F. Chiavaioli et al. Nanophotoncs 2017.;https://www.youtube.com/watch?v=t90r_MMmHdQ&t=720;https://doi.org/10.1515/nanoph-2016-0178
7_720;7;M. Morisawa et al. Jornal of sensors 2012;https://www.youtube.com/watch?v=t90r_MMmHdQ&t=720;https://doi.org/10.1155/2012/709849
7_810;7;Tai, et al. Opt. Lett. 1987;https://www.youtube.com/watch?v=t90r_MMmHdQ&t=810;https://doi.org/10.1063/1.96589
7_870;7;Tai. et al. Opt. Lett. 1987;https://www.youtube.com/watch?v=t90r_MMmHdQ&t=870;https://doi.org/10.1063/1.96589
7_1020;7;Nieva, et al. ACS AMI. 2016;https://www.youtube.com/watch?v=t90r_MMmHdQ&t=1020;https://doi.org/10.1021/acsami.6b03638
7_1050;7;P. Nieva et al. ACS applied materials and interfaces, 2017, 9, 41284, 9,;https://www.youtube.com/watch?v=t90r_MMmHdQ&t=1050;https://doi.org/10.1016/j.est.2020.101233
7_1350;7;J. Albert et al., Laser & Photonics, 2013, 7.83-108.;https://www.youtube.com/watch?v=t90r_MMmHdQ&t=1350;https://doi.org/10.1002/lpor.201100039
7_1350;7;C. Caucheteur et al. Nature Communications 2016.;https://www.youtube.com/watch?v=t90r_MMmHdQ&t=1350;https://doi.org/10.1038/ncomms13371
7_1500;7;T. Guo et al., Optics and Laser Technology, 2016, 78, 19-33.;https://www.youtube.com/watch?v=t90r_MMmHdQ&t=1500;https://doi.org/10.1016/j.bios.2013.12.054
7_2100;7;T. Guao, H.W Tam et al Optics Expres Vol 17, 2009;https://www.youtube.com/watch?v=t90r_MMmHdQ&t=2100;https://doi.org/10.1364/oe.19.020003
7_2160;7;A. Nedialkov et al. Batteries march 2019;https://www.youtube.com/watch?v=t90r_MMmHdQ&t=2160;https://doi.org/10.5772/intechopen.91143
7_2310;7;L. Marec, L. Quetel, et al. Insitu optical fibre sensors for temperature and salinity monitoring, OCS 2005;https://www.youtube.com/watch?v=t90r_MMmHdQ&t=2310;https://doi.org/10.1109/oceanse.2005.1513243
7_2340;7;J.H. Chong et al. Optics Communications 229 (2004);https://www.youtube.com/watch?v=t90r_MMmHdQ&t=2340;https://doi.org/10.1016/j.optcom.2003.10.044
7_2460;7;Marrec, L., Bourgerette, T., Datin, E., Ferchaud, N., Pucel, B., Quétel, L., Renault, C., & Tregoat, D. (2005). In-situ optical fibre sensors for temperature and salinity monitoring. In Oceans 2005 - Europe (Vol. 2, pp. 1276-1278). IEEE;https://www.youtube.com/watch?v=t90r_MMmHdQ&t=2460;https://doi.org/10.1109/oceanse.2005.1513243
7_2580;7;J. Janting, Journal of lightwave technology;https://www.youtube.com/watch?v=t90r_MMmHdQ&t=2580;https://doi.org/10.1364/ofs.2018.tue63
7_2580;7;Small and Robust All-Polymer Fiber Bragg Grating Based pH Sensor, DOI 10.1109/JLT. 2019.2902638;https://www.youtube.com/watch?v=t90r_MMmHdQ&t=2580;https://doi.org/10.1364/ofs.2018.the52
7_2700;7;A. Trouillet et al. Meas. Science Technology 17 (2006);https://www.youtube.com/watch?v=t90r_MMmHdQ&t=2700;https://doi.org/10.1117/12.623648
7_2700;7;J. Dai et al, Sensors and Actuators B. 190 (2014);https://www.youtube.com/watch?v=t90r_MMmHdQ&t=2700;https://doi.org/10.3390/s17030577
7_2850;7;A. M. Cubillas et al. Chem Soc. Rev 2013;https://www.youtube.com/watch?v=t90r_MMmHdQ&t=2850;https://doi.org/10.1364/lacsea.2014.lm4d.5
7_2970;7;S Maquis, G. Laffont, P. Ferdinand, et al. Optics Express, 2008;https://www.youtube.com/watch?v=t90r_MMmHdQ&t=2970;https://doi.org/10.4324/9781315608730
7_3000;7;E. Miele et al., ICTON 2020, 978-1-8423 2020 IEEE;https://www.youtube.com/watch?v=t90r_MMmHdQ&t=3000;https://doi.org/10.1109/ICTON51198.2020.9203170
7_3120;7;Stephen et al. Proc. SPIE 6530, 2007;https://www.youtube.com/watch?v=t90r_MMmHdQ&t=3120;https://doi.org/10.1117/12.720914
7_3210;7;J. Huang et al. (2021);https://www.youtube.com/watch?v=t90r_MMmHdQ&t=3210;https://doi.org/10.1016/s1473-3099(21)00396-0
7_3420;7;M. McSherry et al. Sensor review Vol. 25 (2005);https://www.youtube.com/watch?v=t90r_MMmHdQ&t=3420;https://doi.org/10.1108/02602280510577852
9_360;9;M. Faraday. The Bakerian Lecture: Experimental Relations of Gold (and Other Metals), Light Philos. Trans. R. Soc. London. 1857. 147. 145-181;https://www.youtube.com/watch?v=ufLx_7YafmM&t=360;https://doi.org/10.1080/14786445708642424
9_660;9;Wadell et al., ACS Nano, 2014, 8, 12, 11925-11940.;https://www.youtube.com/watch?v=ufLx_7YafmM&t=660;https://doi.org/10.1021/nn505804f
9_660;9;Willets et al Annu Rev Phys Chem 2007 58 267.07;https://www.youtube.com/watch?v=ufLx_7YafmM&t=660;https://doi.org/10.1146/annurev.physchem.58.032806.104607
9_660;9;Stewart et al., Chem. Rev., 2008, 108, 494-521.;https://www.youtube.com/watch?v=ufLx_7YafmM&t=660;https://doi.org/10.1021/cr068126n
9_810;9;Willets et al., Annu. Rev. Phys. Chem., 2007, 58, 267-97.;https://www.youtube.com/watch?v=ufLx_7YafmM&t=810;https://doi.org/10.1146/annurev.physchem.58.032806.104607
9_1050;9;J. N. Anker et al., Nature Materials, 2008. 7.;https://www.youtube.com/watch?v=ufLx_7YafmM&t=1050;https://doi.org/10.1038/nmat2162
9_1140;9;P.R. West et al. Laser and photonic review, 2020;https://www.youtube.com/watch?v=ufLx_7YafmM&t=1140;https://doi.org/10.1117/1.jbo.25.4.040902
9_1410;9;Willets et al., Annu. Rev. Phys. Chem., 2007, 58, 267-97.;https://www.youtube.com/watch?v=ufLx_7YafmM&t=1410;https://doi.org/10.1146/annurev.physchem.58.032806.104607
9_1590;9;M. L. Brongersma, Faraday Discussions, 2015, 178, 9-36;https://www.youtube.com/watch?v=ufLx_7YafmM&t=1590;https://doi.org/10.1039/c5fd90020d
9_1650;9;Rifat et al., Sensors and Actuators B, 2017, 243, 311-325.;https://www.youtube.com/watch?v=ufLx_7YafmM&t=1650;https://doi.org/10.1016/j.snb.2016.11.113
9_1710;9;E. Larsson et al., Nanophotonics, 2012, 1, 249-266.;https://www.youtube.com/watch?v=ufLx_7YafmM&t=1710;https://doi.org/10.1515/nanoph-2012-0029
9_1710;9;J. Dai et al.. Sensors. 2017. 17. 577. Wadell et al., ACS Nano, 2014, 8, 12, 11925-11940.;https://www.youtube.com/watch?v=ufLx_7YafmM&t=1710;https://doi.org/10.1016/j.snb.2018.06.013
9_1770;9;E.M. Larson et al. Nano Lett. Vol.7, N°5 (2007);https://www.youtube.com/watch?v=ufLx_7YafmM&t=1770;https://doi.org/10.1016/j.nanoen.2019.103925
9_2040;9;I. Zoric, E.M Larsson, Advanced Materials, 22, 2010;https://www.youtube.com/watch?v=ufLx_7YafmM&t=2040;https://doi.org/10.1021/nl101727b
9_2310;9;E.M. Laarson et el. Science. Vo. 326 (2009);https://www.youtube.com/watch?v=ufLx_7YafmM&t=2310;https://doi.org/10.1126/science.1176593
9_2310;9;C. Langhammer et al. Nano Lett., 10, 2010;https://www.youtube.com/watch?v=ufLx_7YafmM&t=2310;https://doi.org/10.1021/nl101727b
9_2430;9;C. Langhammer et al. Nano. Lett., 10, 2010;https://www.youtube.com/watch?v=ufLx_7YafmM&t=2430;https://doi.org/10.1021/nl101727b
9_2490;9;L. Tian, Nanotechnology 23(2012);https://www.youtube.com/watch?v=ufLx_7YafmM&t=2490;https://doi.org/10.1088/0957-4484/23/25/255502
9_2730;9;V. Gusak et al. NANO letters, 12 (2012);https://www.youtube.com/watch?v=ufLx_7YafmM&t=2730;https://doi.org/10.1021/nl3003842
9_3090;9;Y. Jin et al. PNAS Vol. 115, 544, 2008;https://www.youtube.com/watch?v=ufLx_7YafmM&t=3090;https://doi.org/10.1073/pnas.1018202108
9_3150;9;L. Albero Blanquer, MESC Master thesis, 2018.;https://www.youtube.com/watch?v=ufLx_7YafmM&t=3150;https://doi.org/10.25148/mmeurs.010558
9_3390;9;T. Guo et al.. Sensors 2017 17. 2732.;https://www.youtube.com/watch?v=ufLx_7YafmM&t=3390;https://doi.org/10.3390/s17122732
9_3390;9;T. Guo et al., Jouranl of Lightwave Tech., 2017, 35, 16;https://www.youtube.com/watch?v=ufLx_7YafmM&t=3390;https://doi.org/10.1117/12.2315220.5788820939001
9_3480;9;J.Lao et al., Light: Science & Applications, 2018, 7, 34.;https://www.youtube.com/watch?v=ufLx_7YafmM&t=3480;https://doi.org/10.1038/s41377-018-0040-y
9_3900;9;S.A. Pradanawati et al., Jouml of power source (2016);https://www.youtube.com/watch?v=ufLx_7YafmM&t=3900;https://doi.org/10.1016/j.jpowsour.2016.09.014
11_720;11;Lemaire et al.. Anal. Chem. 2020.;https://www.youtube.com/watch?v=-yqPZQYYwiI&t=720;https://doi.org/10.1021/acs.analchem.0c02233
11_1080;11;T. Ohzuku et al. J. Electrochem. Soc. (1997);https://www.youtube.com/watch?v=-yqPZQYYwiI&t=1080;https://doi.org/10.1149/1.1837895
11_1230;11;N. Kircheva et al. J. Electrochem. Soc. (2011);https://www.youtube.com/watch?v=-yqPZQYYwiI&t=1230;https://doi.org/10.1149/2.045201jes
11_1380;11;K. Rhodes et al. Journal of the electrochemical society. 157 (12) 2010;https://www.youtube.com/watch?v=-yqPZQYYwiI&t=1380;https://doi.org/10.1149/1.3489374
11_1560;11;K. Rhodes et al. Review of Scientific Instrumentation (2011);https://www.youtube.com/watch?v=-yqPZQYYwiI&t=1560;https://doi.org/10.1146/annurev-earth-040610-133425
11_1680;11;Chan-yang Choe et al. Materials transactions (2)(2015);https://www.youtube.com/watch?v=-yqPZQYYwiI&t=1680;https://doi.org/10.1080/21642850.2015.1040405
11_2040;11;Z. Deng, et al. Joule 4, 1-13 (2020);https://www.youtube.com/watch?v=-yqPZQYYwiI&t=2040;https://doi.org/10.1038/s41560-020-0647-0
11_2790;11;"A.G. Hsieh et al. Energy Environ. Sci; (2015) DOI:10.1039/c5ee0011k";https://www.youtube.com/watch?v=-yqPZQYYwiI&t=2790;https://doi.org/10.1039/C5EE00111K
11_2880;11;AG Hsieh et al., Energy Environ. Sci. 8, 1569-1577 (2015).;https://www.youtube.com/watch?v=-yqPZQYYwiI&t=2880;https://doi.org/10.1039/C5EE00111K
11_2940;11;L Gold et al.. J. Power Sources. 343 536-544 (2017).;https://www.youtube.com/watch?v=-yqPZQYYwiI&t=2940;https://doi.org/10.1016/j.jpowsour.2017.01.090
11_3150;11;P Ladpli, F Kopsaftopoulos, F-K Chang, J. Power Sources. 384, 342-354 (2018).;https://www.youtube.com/watch?v=-yqPZQYYwiI&t=3150;https://doi.org/10.1016/j.jpowsour.2018.02.056
